type,directory,label,font_awesome_icon
summary,summaries,summary,
lesson-plan,lesson-plans,lesson plan,chalkboard-user
pre-activity,pre-activities,pre-activity,book
slides,slides,slides,window-maximize
activity,activities,activity,file-alt
recording,,recording,circle-play
prairielearn,,PrairieLearn,calendar-week
